,GP,MIN,PTS,FGM,3P Made,3P%,FT%,OREB,REB,AST,STL,BLK,TARGET_5Yrs
0,36,27.4,7.4,2.6,0.5,25.0,69.9,0.7,4.1,1.9,0.4,0.4,0.0
1,35,26.9,7.2,2.0,0.7,23.5,76.5,0.5,2.4,3.7,1.1,0.5,0.0
2,74,15.3,5.2,2.0,0.4,24.4,67.0,0.5,2.2,1.0,0.5,0.3,0.0
3,58,11.6,5.7,2.3,0.1,22.6,68.9,1.0,1.9,0.8,0.6,0.1,1.0
4,48,11.5,4.5,1.6,0.0,0.0,67.4,1.0,2.5,0.3,0.3,0.4,1.0
5,75,11.4,3.7,1.5,0.3,32.5,73.2,0.2,0.8,1.8,0.4,0.0,0.0
6,62,10.9,6.6,2.5,0.0,50.0,81.1,0.5,2.0,0.6,0.2,0.1,1.0
7,48,10.3,5.7,2.3,0.4,30.0,87.5,0.8,1.7,0.2,0.2,0.1,1.0
8,65,9.9,2.4,1.0,0.1,23.3,71.4,0.2,0.8,2.3,0.3,0.0,0.0
9,42,8.5,3.7,1.4,0.1,21.4,67.8,0.4,1.1,0.3,0.2,0.0,0.0
10,35,6.9,2.3,0.9,0.0,33.3,81.8,0.5,0.9,0.7,0.1,0.1,0.0
11,40,6.7,3.6,1.2,0.1,13.6,77.6,0.5,1.2,0.4,0.3,0.1,1.0
12,27,6.6,1.3,0.6,0.0,0.0,28.6,0.6,2.0,0.2,0.2,0.6,1.0
13,45,15.3,5.6,1.9,1.1,30.1,86.1,0.5,2.0,0.5,0.5,0.3,0.0
14,44,6.4,2.4,1.0,0.0,0.0,50.0,0.4,1.4,0.2,0.2,0.4,1.0
15,40,6.1,2.6,0.9,0.1,14.3,68.4,0.1,0.4,1.4,0.3,0.0,1.0
16,49,5.3,2.1,0.7,0.0,0.0,64.2,0.5,1.2,0.2,0.3,0.2,0.0
17,41,4.2,1.7,0.6,0.1,21.4,73.1,0.1,0.3,1.0,0.3,0.0,0.0
18,82,37.2,19.2,7.5,0.1,22.7,82.9,3.9,11.0,3.6,1.0,0.6,0.0
19,82,37.2,19.2,7.5,0.1,22.7,82.9,3.9,11.0,3.6,1.0,0.6,1.0
20,80,31.4,14.3,5.9,0.0,11.1,65.4,3.0,8.0,2.4,1.1,0.8,1.0
21,82,30.5,13.3,5.4,0.0,16.7,66.6,2.3,5.1,2.5,1.5,0.3,1.0
22,76,30.3,10.6,4.4,0.1,13.3,73.0,1.1,2.9,2.2,2.0,0.2,1.0
23,61,29.6,12.0,4.9,0.7,32.0,74.8,1.3,3.1,4.6,1.0,0.3,0.0
24,32,15.2,6.3,2.8,0.0,0.0,62.5,1.7,5.2,0.4,0.5,0.5,0.0
25,76,29.3,10.4,4.0,0.0,0.0,80.7,2.4,5.9,1.6,0.7,0.6,1.0
26,52,24.6,9.3,3.1,1.1,43.4,83.6,0.5,1.9,3.7,0.6,0.0,0.0
27,76,22.5,8.8,3.8,0.0,0.0,73.6,1.7,5.1,1.7,0.8,0.5,1.0
28,78,22.0,10.1,3.9,0.7,39.0,74.1,0.9,3.0,2.2,1.2,0.3,0.0
29,51,20.7,8.4,3.2,0.0,0.0,66.7,2.3,5.4,0.8,0.5,0.5,1.0
30,64,20.3,6.2,2.4,0.0,0.0,57.2,2.5,6.4,0.5,0.4,1.2,1.0
31,55,20.3,10.4,4.3,0.0,0.0,51.5,2.1,6.1,0.7,0.4,1.5,1.0
32,82,19.6,7.4,3.1,0.0,4.3,80.6,0.6,2.0,3.9,1.0,0.3,1.0
33,48,18.9,9.1,3.6,0.0,0.0,66.9,2.4,5.7,0.7,0.8,1.1,1.0
34,34,13.4,4.3,1.5,0.4,18.5,91.2,0.1,1.4,3.1,0.6,0.2,0.0
35,42,18.6,8.5,3.1,0.7,35.7,83.3,0.7,2.0,1.1,0.8,0.1,1.0
36,82,18.4,5.5,2.0,0.1,14.5,74.1,0.4,1.7,3.8,0.7,0.1,1.0
37,64,17.0,7.0,2.9,0.0,23.1,74.5,0.6,2.0,3.2,1.1,0.1,1.0
38,80,16.9,7.4,3.0,0.0,0.0,69.1,1.3,4.2,0.4,0.6,0.8,1.0
39,77,15.1,5.6,2.3,0.0,21.4,81.0,1.4,3.8,0.4,0.3,0.6,1.0
40,55,14.9,4.1,1.7,0.1,37.5,76.1,0.5,1.5,1.5,0.7,0.2,0.0
41,48,14.8,5.1,2.1,0.0,9.5,80.4,0.6,1.7,2.1,0.9,0.0,0.0
42,51,14.5,5.0,1.5,0.2,27.0,87.5,0.4,1.5,2.8,0.9,0.0,0.0
43,51,13.2,3.9,1.6,0.2,36.7,76.9,0.6,2.1,0.8,0.3,0.2,0.0
44,72,12.4,4.6,1.6,0.0,0.0,80.3,0.4,1.3,1.9,0.6,0.1,1.0
45,69,11.8,3.6,1.6,0.0,100.0,82.1,1.1,2.7,0.6,0.5,0.3,1.0
46,54,11.3,5.7,2.2,0.0,0.0,66.1,1.4,3.4,0.3,0.6,0.7,1.0
47,24,10.6,4.1,1.3,0.6,36.6,66.7,0.1,0.7,1.5,0.7,0.1,0.0
48,50,9.6,4.1,1.5,0.1,19.2,75.4,0.4,1.1,1.8,0.6,0.1,1.0
49,56,9.6,3.4,1.4,0.0,0.0,65.5,0.5,1.2,1.1,0.6,0.2,1.0
50,67,9.0,3.7,1.4,0.4,29.2,75.6,0.1,0.7,1.4,0.4,0.1,0.0
51,50,8.7,2.5,1.0,0.0,14.3,65.9,0.3,0.8,1.6,0.7,0.1,1.0
52,45,8.5,2.7,1.1,0.0,0.0,75.0,0.7,1.5,0.3,0.2,0.2,1.0
53,38,8.2,3.4,1.4,0.2,22.2,82.6,0.3,0.9,0.7,0.3,0.1,0.0
54,42,8.2,2.8,1.0,0.0,0.0,52.5,0.9,1.9,0.3,0.1,0.1,0.0
55,54,8.2,3.2,1.3,0.1,18.8,74.4,0.7,1.3,0.6,0.2,0.1,0.0
56,35,7.3,4.0,1.8,0.1,20.0,53.6,0.6,1.2,0.6,0.4,0.2,0.0
57,37,7.3,2.8,1.2,0.1,18.2,81.0,0.4,1.1,0.3,0.2,0.1,0.0
58,46,6.7,2.6,1.1,0.2,27.0,52.6,0.4,0.8,0.5,0.2,0.0,0.0
59,51,6.4,2.2,0.8,0.3,43.3,83.3,0.3,0.8,0.3,0.1,0.0,0.0
60,40,5.3,2.2,0.7,0.0,0.0,75.6,0.5,1.2,0.3,0.1,0.1,0.0
61,19,4.8,1.6,0.7,0.0,0.0,37.5,0.6,1.0,0.4,0.3,0.2,0.0
62,36,4.3,1.3,0.5,0.1,11.8,66.7,0.2,0.6,0.6,0.1,0.0,0.0
63,79,37.7,18.0,6.9,0.0,27.3,73.6,2.4,8.8,4.0,1.4,1.1,1.0
64,55,13.1,3.4,1.2,0.4,20.4,74.5,0.4,1.2,0.5,0.7,0.1,0.0
65,74,35.2,18.4,6.9,0.2,34.2,73.1,3.6,10.3,2.2,1.0,1.3,1.0
66,64,33.5,14.3,4.6,1.1,36.5,77.0,0.8,2.8,4.0,1.3,0.2,0.0
67,82,28.5,15.7,6.1,1.5,37.4,75.0,0.8,2.9,1.6,0.8,0.3,1.0
68,82,27.4,7.2,3.2,0.0,7.7,71.1,1.3,3.0,6.4,2.0,0.2,1.0
69,81,25.9,7.1,2.4,0.0,0.0,72.2,3.4,7.9,0.3,0.6,1.5,1.0
70,76,25.4,12.0,4.5,0.1,13.3,78.2,1.5,3.4,1.4,0.9,0.3,1.0
72,82,23.7,8.7,3.5,0.1,20.6,87.3,0.5,2.2,4.2,1.0,0.2,1.0
74,49,9.2,1.9,0.7,0.1,21.4,64.9,0.2,0.8,1.7,0.5,0.1,1.0
75,82,23.7,11.0,4.6,0.0,14.3,83.5,1.3,3.2,3.7,1.3,0.5,1.0
76,76,22.6,6.9,2.8,0.0,0.0,63.6,1.9,5.1,0.9,0.6,1.9,1.0
77,67,22.5,14.1,6.2,0.4,24.0,85.7,0.5,1.8,3.1,0.8,0.1,1.0
78,70,20.6,8.8,3.6,0.0,9.7,70.7,0.9,2.1,2.5,0.4,0.2,0.0
79,81,20.5,8.6,3.4,0.3,29.9,81.6,1.2,3.5,1.8,0.5,0.3,1.0
80,33,19.5,7.2,2.4,0.1,40.0,84.3,1.4,3.3,1.4,0.6,0.3,1.0
81,58,19.3,5.3,2.0,0.0,0.0,55.0,2.3,5.6,0.4,0.6,1.2,0.0
82,70,16.9,7.2,3.0,0.1,25.0,79.6,0.5,1.7,1.3,0.3,0.1,0.0
83,82,16.5,4.9,2.0,0.1,17.6,74.7,0.7,1.9,2.8,0.8,0.1,1.0
84,62,16.2,6.9,2.6,0.3,29.2,77.3,0.7,1.9,1.2,0.5,0.1,0.0
85,78,16.1,6.2,2.6,0.0,0.0,67.2,1.5,4.3,0.4,0.2,0.3,0.0
86,73,16.1,5.5,2.4,0.0,0.0,66.2,1.7,4.8,0.5,0.3,0.3,1.0
87,74,16.1,5.3,2.0,0.0,0.0,63.2,2.1,5.2,0.3,0.5,0.4,1.0
88,76,15.4,6.7,2.8,0.2,29.8,63.0,1.5,2.9,0.8,0.6,0.3,0.0
89,55,14.9,5.7,2.4,0.0,0.0,71.2,1.5,4.2,0.6,0.6,0.5,1.0
90,47,14.3,5.6,2.3,0.0,18.2,58.8,0.4,1.5,2.8,0.7,0.2,0.0
91,37,13.6,8.1,3.0,0.6,40.0,72.2,0.7,2.1,0.9,0.4,0.1,1.0
92,62,13.3,4.3,1.7,0.0,0.0,64.4,0.8,2.7,0.6,0.2,0.2,0.0
93,62,12.5,3.9,1.4,0.1,16.1,80.5,0.3,1.0,1.3,0.5,0.1,0.0
94,51,11.9,6.9,2.9,0.0,11.8,68.4,1.1,2.0,0.8,0.6,0.2,0.0
95,36,11.8,3.9,1.7,0.0,0.0,55.6,0.8,1.4,1.0,0.4,0.0,1.0
96,74,11.6,3.1,1.3,0.0,25.0,65.2,0.8,1.9,0.7,0.5,0.2,1.0
97,63,11.6,8.2,3.2,0.0,16.7,66.3,1.2,2.4,0.6,0.3,0.1,1.0
98,33,10.8,2.2,0.9,0.1,27.3,64.3,0.2,2.2,0.8,0.5,0.2,0.0
99,54,11.2,4.4,1.8,0.0,0.0,68.9,1.0,2.8,0.7,0.2,0.4,1.0
100,73,11.0,3.8,1.5,0.1,27.8,73.2,0.2,1.1,1.2,0.5,0.1,0.0
101,15,10.9,3.6,1.3,0.0,0.0,66.7,0.8,3.0,0.2,0.3,0.3,0.0
102,64,10.9,3.7,1.5,0.0,0.0,70.2,0.4,1.1,2.1,0.4,0.2,1.0
103,56,10.6,3.4,1.4,0.0,0.0,80.0,0.3,0.8,1.9,0.5,0.1,0.0
104,64,10.6,3.2,1.2,0.0,0.0,69.6,0.4,1.2,1.0,0.3,0.1,0.0
105,68,10.1,3.1,1.2,0.3,33.3,90.5,0.2,0.8,1.9,0.5,0.0,1.0
106,47,10.0,2.9,1.1,0.3,37.5,75.8,0.7,1.4,0.7,0.3,0.0,0.0
107,52,9.8,3.5,1.4,0.0,50.0,66.1,0.8,2.1,0.3,0.2,0.1,1.0
108,64,9.5,3.7,1.5,0.1,40.0,77.8,0.5,1.0,0.4,0.3,0.2,0.0
109,34,10.8,2.9,1.3,0.0,0.0,44.4,0.8,1.9,0.5,0.1,0.1,0.0
110,42,9.5,3.8,1.6,0.0,0.0,55.0,0.7,2.9,0.4,0.1,0.7,1.0
111,50,9.3,4.5,1.9,0.1,15.8,84.8,0.4,1.3,0.7,0.2,0.0,1.0
112,52,7.3,2.8,1.1,0.0,0.0,65.3,0.8,1.8,0.2,0.2,0.7,1.0
113,75,7.0,2.9,1.2,0.0,0.0,68.0,0.7,1.7,0.4,0.1,0.4,0.0
114,39,6.8,2.2,0.9,0.2,24.0,48.0,0.8,1.7,0.5,0.4,0.3,1.0
115,51,6.6,2.5,1.0,0.0,50.0,71.4,0.8,1.9,0.3,0.2,0.3,1.0
116,52,6.2,1.3,0.5,0.0,0.0,54.5,0.8,1.5,0.1,0.1,0.1,0.0
117,39,5.8,1.5,0.5,0.0,0.0,90.5,0.5,1.2,0.2,0.1,0.1,1.0
118,82,36.6,24.3,8.4,0.0,0.0,73.2,3.7,12.0,2.0,1.7,3.9,1.0
119,31,10.7,3.4,1.2,0.5,25.8,55.2,0.3,1.4,0.4,0.3,0.1,0.0
120,79,33.7,14.7,5.9,0.3,27.4,76.4,0.7,3.9,8.7,2.1,0.1,0.0
121,79,33.7,14.7,5.9,0.3,27.4,76.4,0.7,3.9,8.7,2.1,0.1,1.0
122,82,33.6,11.1,4.4,0.0,0.0,66.4,2.4,8.4,1.2,1.1,0.7,1.0
123,82,31.5,11.4,5.2,0.3,27.7,58.9,0.7,2.6,6.8,1.6,0.3,1.0
124,81,30.5,14.3,5.7,0.1,16.1,68.7,0.9,2.5,7.6,1.8,0.1,1.0
125,80,30.2,12.7,4.7,0.0,0.0,76.8,2.3,5.8,1.1,0.8,0.7,1.0
126,77,30.0,13.6,6.1,0.2,24.6,73.4,1.3,4.6,1.8,0.9,0.3,1.0
127,77,30.0,13.6,6.1,0.2,24.6,73.4,1.3,4.6,1.8,0.9,0.3,0.0
128,50,25.3,10.1,4.2,0.4,22.5,77.8,0.8,2.8,4.2,1.6,0.3,1.0
129,81,25.1,10.0,3.8,0.0,11.1,86.6,1.6,3.7,1.9,0.6,0.2,1.0
130,82,23.0,8.9,3.5,0.1,30.0,71.9,0.8,3.1,1.8,0.9,0.4,1.0
131,50,10.6,3.7,1.5,0.0,13.3,57.4,0.9,2.9,0.3,0.2,0.4,0.0
132,81,22.0,11.5,4.6,0.0,5.9,70.5,1.3,3.9,1.5,0.8,0.4,1.0
133,82,21.7,8.9,3.3,0.0,0.0,72.7,2.1,4.7,1.1,0.5,0.7,1.0
134,81,20.1,9.7,3.7,1.2,39.9,80.9,0.4,1.6,2.5,0.7,0.0,1.0
135,69,19.6,6.3,2.5,0.0,13.3,70.5,1.1,2.3,0.6,0.6,0.2,0.0
136,82,19.1,9.1,3.6,0.1,27.3,55.0,1.3,3.8,0.9,0.7,0.7,1.0
137,55,18.0,6.1,2.5,0.0,0.0,66.7,1.5,3.4,1.0,0.4,0.2,0.0
138,75,17.9,7.3,2.8,0.0,0.0,76.2,1.1,3.1,0.7,0.4,0.3,1.0
139,72,17.0,8.7,3.2,0.0,0.0,72.2,2.6,5.0,0.6,0.3,0.2,0.0
140,79,16.8,8.0,3.2,0.0,0.0,74.7,0.6,1.9,1.5,0.7,0.2,1.0
141,25,10.4,3.3,1.2,0.2,38.5,69.2,1.1,3.4,0.2,0.2,0.4,0.0
142,81,15.9,5.6,2.3,0.0,50.0,88.5,0.2,1.3,2.5,0.6,0.1,1.0
143,63,14.0,4.7,1.9,0.0,0.0,62.1,1.5,3.6,0.4,0.4,0.4,1.0
144,81,13.8,6.5,2.5,0.0,16.7,73.6,1.8,4.3,0.3,0.6,0.9,1.0
145,61,13.2,5.3,2.1,0.0,0.0,64.3,1.0,2.8,0.8,0.2,0.2,1.0
146,43,13.0,4.6,2.0,0.1,14.3,68.0,0.2,1.2,1.9,0.3,0.1,0.0
147,55,12.9,4.3,1.7,0.0,7.1,56.2,1.4,3.1,0.4,0.4,0.1,1.0
148,59,12.4,4.1,1.6,0.0,25.0,67.1,0.7,2.1,0.6,0.6,0.2,0.0
149,66,11.3,5.9,1.8,0.0,0.0,77.7,1.0,2.1,0.7,0.5,0.1,1.0
150,70,34.5,16.7,6.1,0.8,26.4,70.3,1.4,6.2,6.3,1.9,0.6,0.0
151,77,11.0,3.5,1.4,0.2,28.6,66.0,0.2,0.7,2.3,0.3,0.0,0.0
152,37,10.9,3.9,1.3,0.2,23.3,69.4,0.2,0.9,1.8,0.5,0.1,0.0
153,67,10.1,3.1,1.2,0.0,18.8,66.1,0.2,0.9,2.5,0.5,0.0,1.0
154,42,9.8,1.9,0.9,0.0,0.0,50.0,1.0,2.9,0.5,0.2,0.3,0.0
155,50,9.8,5.2,1.9,0.1,35.7,67.0,0.6,1.5,0.9,0.6,0.0,0.0
157,65,9.5,5.0,2.1,0.0,7.1,82.8,0.6,1.5,1.2,0.1,0.0,1.0
159,82,21.2,6.9,2.7,0.0,0.0,48.5,2.1,5.9,0.8,0.7,0.6,1.0
160,44,9.4,2.7,1.0,0.3,32.5,78.9,0.3,1.0,1.0,0.4,0.1,1.0
161,36,8.8,4.3,1.6,0.0,0.0,61.5,0.6,1.4,0.6,0.5,0.2,0.0
164,60,8.7,2.9,1.0,0.0,0.0,69.7,0.2,1.2,1.7,0.6,0.1,0.0
167,71,30.4,16.3,6.1,0.0,0.0,72.5,2.4,6.5,1.5,1.0,1.3,0.0
170,34,8.6,3.5,1.4,0.4,31.9,54.5,0.4,0.8,0.6,0.3,0.2,0.0
171,45,8.3,4.5,1.8,0.0,0.0,60.9,1.3,2.4,0.4,0.2,0.1,0.0
172,70,32.3,12.8,4.9,1.6,33.0,90.3,0.5,3.0,5.7,0.6,0.1,0.0
173,57,7.7,2.0,0.7,0.1,25.0,61.5,0.4,1.2,0.4,0.3,0.1,0.0
174,52,7.3,2.6,1.0,0.1,27.3,81.3,0.5,1.3,0.3,0.2,0.1,1.0
175,51,6.5,1.9,0.8,0.0,0.0,46.4,0.7,2.1,0.1,0.2,0.3,1.0
176,35,6.2,3.3,1.3,0.1,40.0,88.9,0.3,0.7,0.3,0.2,0.2,0.0
177,48,5.7,1.1,0.4,0.0,16.7,76.5,0.2,0.6,1.3,0.3,0.0,0.0
178,21,4.9,0.7,0.3,0.0,0.0,50.0,0.2,1.1,0.1,0.1,0.3,0.0
179,36,4.3,2.0,0.6,0.1,28.6,80.0,0.2,0.6,0.3,0.1,0.0,0.0
180,21,4.1,2.2,0.9,0.0,25.0,69.2,0.6,1.1,0.0,0.1,0.4,0.0
181,79,34.4,22.0,8.2,0.4,36.7,81.0,2.0,5.9,4.2,1.0,0.2,1.0
182,81,33.8,18.6,7.9,0.0,19.0,77.5,1.9,5.1,4.6,1.9,0.8,1.0
183,80,31.1,13.8,4.9,0.9,32.7,78.0,0.5,4.1,4.1,1.6,0.5,0.0
184,79,32.6,15.1,5.6,0.9,42.8,83.1,0.6,2.8,3.0,1.5,0.5,1.0
185,79,29.7,13.8,5.9,0.1,27.0,74.6,1.1,3.3,4.4,1.8,0.3,1.0
186,82,29.7,11.9,4.1,0.0,0.0,74.9,2.9,6.7,1.8,1.5,0.6,1.0
187,75,29.6,16.9,7.0,0.8,31.4,79.5,1.0,2.5,2.3,0.9,0.3,1.0
188,82,28.1,8.6,3.6,0.0,0.0,82.6,1.5,4.6,5.8,0.9,0.3,1.0
189,76,27.6,14.1,5.4,0.8,36.6,71.7,2.5,5.2,1.6,1.3,0.8,1.0
190,71,27.1,11.9,5.1,0.1,22.7,73.5,1.1,3.4,7.1,2.0,0.1,1.0
191,79,26.1,11.7,4.5,0.4,24.8,74.5,0.6,2.6,3.8,1.1,0.1,1.0
192,82,26.7,8.8,3.1,1.2,32.0,80.4,0.6,2.9,1.0,0.6,0.2,0.0
193,54,25.1,8.6,3.4,0.5,32.9,61.4,1.1,3.9,2.4,1.2,0.3,1.0
194,55,22.2,8.0,3.0,0.0,25.0,67.3,2.1,5.2,2.1,0.7,0.5,0.0
195,64,22.0,11.0,4.0,1.0,40.6,78.9,0.9,3.1,1.3,0.6,0.3,0.0
196,71,21.1,6.4,2.5,0.0,0.0,80.3,0.5,2.2,3.4,1.1,0.1,0.0
197,36,20.3,5.7,2.0,0.0,14.3,69.5,1.2,2.5,4.3,1.2,0.1,0.0
198,65,18.5,7.4,2.9,0.0,0.0,57.1,1.8,4.5,1.0,1.0,0.3,0.0
199,80,19.5,7.1,3.0,0.1,30.0,85.0,0.6,2.1,2.6,0.8,0.2,1.0
200,32,19.3,6.8,3.1,0.1,20.0,69.2,0.3,1.5,3.7,0.8,0.1,0.0
201,81,19.0,9.3,3.4,0.1,20.8,78.3,1.4,3.2,1.0,0.6,0.1,0.0
202,80,18.2,11.5,4.0,0.1,22.5,78.6,1.3,2.3,1.5,0.5,0.1,1.0
203,71,16.8,5.6,2.5,0.0,0.0,59.6,1.1,2.3,1.1,0.5,0.4,1.0
204,81,16.8,8.9,3.3,0.2,32.2,74.5,0.6,2.0,3.9,1.2,0.0,1.0
205,82,16.7,5.2,1.9,0.7,35.9,88.4,0.2,1.1,3.7,0.8,0.0,1.0
206,24,14.7,5.1,1.8,0.0,0.0,57.8,0.8,2.1,0.9,0.7,0.1,0.0
207,65,14.5,5.5,1.9,0.0,0.0,68.9,1.5,3.6,0.3,0.2,0.2,0.0
208,56,14.3,5.0,2.1,0.0,0.0,58.0,1.2,3.2,0.6,0.4,0.1,1.0
209,36,7.0,1.6,0.7,0.0,0.0,69.2,0.7,1.9,0.2,0.1,0.1,1.0
210,51,13.4,4.8,1.8,0.0,0.0,72.5,0.6,2.2,0.8,0.4,0.3,0.0
211,75,10.4,4.3,1.6,0.0,0.0,69.9,0.6,2.7,0.2,0.1,0.3,1.0
212,54,10.2,4.8,2.0,0.0,0.0,38.4,1.6,3.7,1.1,0.4,0.1,1.0
213,62,9.9,4.1,1.7,0.0,25.0,61.5,1.0,2.1,0.3,0.3,0.5,1.0
214,82,9.5,1.7,0.5,0.0,7.1,78.1,0.3,1.1,2.6,0.3,0.1,1.0
215,53,9.4,2.2,0.8,0.2,29.4,60.9,0.1,0.5,2.2,0.5,0.1,0.0
216,47,9.4,2.9,1.0,0.0,16.7,83.3,0.3,0.9,2.3,0.5,0.2,0.0
217,36,8.8,4.1,1.4,0.3,38.5,65.4,0.4,1.1,0.8,0.6,0.1,1.0
218,62,8.5,2.6,1.0,0.0,0.0,65.0,0.9,2.4,0.1,0.3,0.8,1.0
219,37,8.3,3.5,1.4,0.0,0.0,67.4,0.5,1.3,0.5,0.5,0.2,0.0
220,60,8.1,3.1,1.4,0.0,0.0,50.0,0.8,2.6,0.4,0.3,0.3,1.0
221,51,8.0,2.2,0.9,0.1,25.0,81.3,0.3,0.9,1.5,0.5,0.1,1.0
222,42,7.9,4.0,1.8,0.0,10.0,69.0,0.5,1.3,0.5,0.3,0.1,1.0
223,33,7.8,3.8,1.5,0.0,10.0,82.4,0.5,1.1,0.4,0.4,0.1,1.0
225,57,10.0,3.3,1.0,0.1,30.8,63.8,1.0,2.2,0.8,0.7,0.4,1.0
227,24,17.4,5.3,2.1,0.4,24.4,60.0,0.3,1.8,0.8,1.0,0.4,0.0
228,77,22.6,6.0,2.2,0.9,40.1,71.2,0.9,3.2,0.9,0.7,0.2,0.0
229,72,7.3,2.5,0.8,0.0,0.0,73.8,0.7,1.3,0.6,0.3,0.0,0.0
230,49,7.3,2.6,1.0,0.0,22.2,66.0,0.2,0.6,1.4,0.3,0.1,1.0
231,46,6.8,3.3,1.4,0.0,40.0,70.6,0.6,1.1,0.4,0.3,0.1,0.0
232,43,6.8,1.6,0.7,0.0,11.1,56.3,0.3,0.6,1.7,0.5,0.1,1.0
